"Município";"IDHM 2010";"IDHM
Renda
2010";"IDHM Longevidade 2010";"IDHM Educação 2010";"Estado"
"São Caetano do Sul";0,862;0,891;0,887;0,811;"SP"
"Águas de São Pedro";0,854;0,849;0,89;0,825;"SP"
"Florianópolis";0,847;0,87;0,873;0,8;"SC"
"Balneário Camboriú";0,845;0,854;0,894;0,789;"SC"
"Vitória";0,845;0,876;0,855;0,805;"ES"
"Santos";0,84;0,861;0,852;0,807;"SP"
"Niterói";0,837;0,887;0,854;0,773;"RJ"
"Joaçaba";0,827;0,823;0,891;0,771;"SC"
"Brasília";0,824;0,863;0,873;0,742;"DF"
"Curitiba";0,823;0,85;0,855;0,768;"PR"
"Jundiaí";0,822;0,834;0,866;0,768;"SP"
"Valinhos";0,819;0,848;0,85;0,763;"SP"
"Vinhedo";0,817;0,84;0,878;0,739;"SP"
"Santo André";0,815;0,819;0,861;0,769;"SP"
"Araraquara";0,815;0,788;0,877;0,782;"SP"
"Santana de Parnaíba";0,814;0,876;0,849;0,725;"SP"
"Nova Lima";0,813;0,864;0,885;0,704;"MG"
"Ilha Solteira";0,812;0,786;0,871;0,782;"SP"
"Americana";0,811;0,8;0,876;0,76;"SP"
"Belo Horizonte";0,81;0,841;0,856;0,737;"MG"
"São José";0,809;0,799;0,88;0,752;"SC"
"Joinville";0,809;0,795;0,889;0,749;"SC"
"Maringá";0,808;0,806;0,852;0,768;"PR"
"São José dos Campos";0,807;0,804;0,855;0,764;"SP"
"Blumenau";0,806;0,812;0,894;0,722;"SC"
"Presidente Prudente";0,806;0,788;0,858;0,774;"SP"
"Rio Fortuna";0,806;0,848;0,85;0,727;"SC"
"São Paulo";0,805;0,843;0,855;0,725;"SP"
"Assis";0,805;0,771;0,865;0,781;"SP"
"Campinas";0,805;0,829;0,86;0,731;"SP"
"São Bernardo do Campo";0,805;0,807;0,861;0,752;"SP"
"Porto Alegre";0,805;0,867;0,857;0,702;"RS"
"São Carlos";0,805;0,788;0,863;0,766;"SP"
"Rio Claro";0,803;0,784;0,862;0,766;"SP"
"Jaraguá do Sul";0,803;0,793;0,865;0,755;"SC"
"Rio do Sul";0,802;0,793;0,894;0,727;"SC"
"Bauru";0,801;0,8;0,854;0,752;"SP"
"São Miguel do Oeste";0,801;0,787;0,884;0,739;"SC"
"Pirassununga";0,801;0,789;0,884;0,736;"SP"
"Concórdia";0,8;0,777;0,872;0,756;"SC"
"Vila Velha";0,8;0,807;0,864;0,734;"ES"
"Taubaté";0,8;0,778;0,883;0,746;"SP"
"Ribeirão Preto";0,8;0,82;0,844;0,739;"SP"
"Botucatu";0,8;0,79;0,869;0,746;"SP"
"Goiânia";0,799;0,824;0,838;0,739;"GO"
"Rio de Janeiro";0,799;0,84;0,845;0,719;"RJ"
"Marília";0,798;0,768;0,854;0,776;"SP"
"Sorocaba";0,798;0,792;0,843;0,762;"SP"
"Guaratinguetá";0,798;0,764;0,886;0,751;"SP"
"São João da Boa Vista";0,797;0,776;0,871;0,749;"SP"
"São José do Rio Preto";0,797;0,801;0,846;0,748;"SP"
"Fernandópolis";0,797;0,767;0,872;0,758;"SP"
"Itapema";0,796;0,788;0,881;0,727;"SC"
"Tubarão";0,796;0,788;0,866;0,74;"SC"
"Carlos Barbosa";0,796;0,835;0,835;0,724;"RS"
"Brusque";0,795;0,794;0,894;0,707;"SC"
"Iomerê";0,795;0,754;0,891;0,749;"SC"
"Paulínia";0,795;0,8;0,864;0,727;"SP"
"Treze Tílias";0,795;0,838;0,874;0,685;"SC"
"Itajaí";0,795;0,778;0,884;0,73;"SC"
"Holambra";0,793;0,815;0,878;0,698;"SP"
"Quatro Pontes";0,791;0,79;0,838;0,748;"PR"
"Três Arroios";0,791;0,843;0,851;0,689;"RS"
"Nova Odessa";0,791;0,755;0,861;0,762;"SP"
"Ipiranga do Sul";0,791;0,818;0,866;0,698;"RS"
"Saltinho";0,791;0,771;0,857;0,75;"SP"
"Votuporanga";0,79;0,772;0,857;0,744;"SP"
"Santa Cruz da Conceição";0,79;0,83;0,876;0,679;"SP"
"Adamantina";0,79;0,772;0,852;0,75;"SP"
"Chapecó";0,79;0,779;0,871;0,727;"SC"
"Cândido Rodrigues";0,789;0,747;0,863;0,762;"SP"
"Uberlândia";0,789;0,776;0,885;0,716;"MG"
"Barretos";0,789;0,762;0,875;0,738;"SP"
"Luzerna";0,789;0,781;0,877;0,718;"SC"
"Lagoa dos Três Cantos";0,789;0,765;0,852;0,754;"RS"
"Araçatuba";0,788;0,782;0,841;0,744;"SP"
"Cruzeiro";0,788;0,742;0,871;0,758;"SP"
"Mairiporã";0,788;0,767;0,881;0,723;"SP"
"Barra Bonita";0,788;0,762;0,869;0,739;"SP"
"Criciúma";0,788;0,786;0,846;0,737;"SC"
"Indaiatuba";0,788;0,791;0,837;0,738;"SP"
"Caçapava";0,788;0,754;0,858;0,755;"SP"
"Fernando de Noronha";0,788;0,781;0,839;0,748;"PE"
"Palmas";0,788;0,789;0,827;0,749;"TO"
"Itajubá";0,787;0,767;0,884;0,718;"MG"
"Espírito Santo do Pinhal";0,787;0,784;0,872;0,712;"SP"
"Garibaldi";0,786;0,825;0,856;0,688;"RS"
"Pompéia";0,786;0,75;0,864;0,748;"SP"
"Porto União";0,786;0,752;0,891;0,724;"SC"
"Lins";0,786;0,762;0,869;0,733;"SP"
"Barueri";0,786;0,791;0,866;0,708;"SP"
"Piracicaba";0,785;0,797;0,848;0,717;"SP"
"Amparo";0,785;0,78;0,871;0,711;"SP"
"Nova Araçá";0,785;0,796;0,843;0,722;"RS"
"Cuiabá";0,785;0,8;0,834;0,726;"MT"
"Catanduva";0,785;0,767;0,853;0,74;"SP"
"Casca";0,785;0,778;0,847;0,733;"RS"
"Tremembé";0,785;0,769;0,873;0,72;"SP"
"Monte Aprazível";0,785;0,781;0,861;0,72;"SP"
"Santa Fé do Sul";0,784;0,763;0,84;0,751;"SP"
"Ribeirão Pires";0,784;0,749;0,847;0,76;"SP"
"Ivoti";0,784;0,78;0,848;0,729;"RS"
"Jaguariúna";0,784;0,782;0,862;0,715;"SP"
"Santa Maria";0,784;0,795;0,848;0,715;"RS"
"Salto Veloso";0,784;0,778;0,88;0,705;"SC"
"Arujá";0,784;0,761;0,866;0,73;"SP"
"Timbó";0,784;0,807;0,856;0,697;"SC"
"Campo Grande";0,784;0,79;0,844;0,724;"MS"
"Mogi Mirim";0,784;0,767;0,879;0,715;"SP"
"Horizontina";0,783;0,782;0,858;0,716;"RS"
"Pinhalzinho";0,783;0,758;0,886;0,716;"SC"
"Mogi das Cruzes";0,783;0,762;0,851;0,74;"SP"
"Cascavel";0,782;0,776;0,846;0,728;"PR"
"Caxias do Sul";0,782;0,812;0,86;0,686;"RS"
"Pato Branco";0,782;0,778;0,845;0,728;"PR"
"Cerquilho";0,782;0,758;0,854;0,739;"SP"
"Lavras";0,782;0,757;0,88;0,719;"MG"
"São Bento do Sul";0,782;0,763;0,871;0,719;"SC"
"Caieiras";0,781;0,74;0,861;0,749;"SP"
"Ijuí";0,781;0,786;0,858;0,707;"RS"
"Santo Amaro da Imperatriz";0,781;0,753;0,89;0,71;"SC"
"Bombinhas";0,781;0,753;0,864;0,732;"SC"
"Maravilha";0,781;0,758;0,886;0,708;"SC"
"Águas da Prata";0,781;0,75;0,886;0,716;"SP"
"Lacerdópolis";0,781;0,763;0,883;0,708;"SC"
"Santa Bárbara D'Oeste";0,781;0,752;0,867;0,731;"SP"
"Araras";0,781;0,763;0,859;0,728;"SP"
"Bebedouro";0,78;0,756;0,853;0,735;"SP"
"Cocal do Sul";0,78;0,747;0,859;0,74;"SC"
"Pomerode";0,78;0,78;0,886;0,687;"SC"
"Franca";0,78;0,749;0,842;0,753;"SP"
"Vista Alegre do Prata";0,78;0,809;0,847;0,692;"RS"
"Nova Petrópolis";0,78;0,775;0,89;0,688;"RS"
"Boituva";0,78;0,757;0,861;0,728;"SP"
"Braço do Trombudo";0,78;0,766;0,883;0,702;"SC"
"Orlândia";0,78;0,765;0,882;0,703;"SP"
"Corupá";0,78;0,768;0,873;0,707;"SC"
"Cotia";0,78;0,789;0,851;0,707;"SP"
"Birigui";0,78;0,743;0,869;0,734;"SP"
"Salto";0,78;0,755;0,837;0,751;"SP"
"Poços de Caldas";0,779;0,768;0,872;0,706;"MG"
"Andradina";0,779;0,762;0,885;0,702;"SP"
"Piratininga";0,779;0,762;0,859;0,723;"SP"
"Seara";0,779;0,804;0,872;0,674;"SC"
"Bento Gonçalves";0,778;0,805;0,842;0,695;"RS"
"Varginha";0,778;0,76;0,875;0,707;"MG"
"Juiz de Fora";0,778;0,784;0,844;0,711;"MG"
"Ourinhos";0,778;0,753;0,859;0,727;"SP"
"Jaú";0,778;0,768;0,886;0,693;"SP"
"Londrina";0,778;0,789;0,837;0,712;"PR"
"Tietê";0,778;0,764;0,884;0,698;"SP"
"Jaboticabal";0,778;0,778;0,851;0,71;"SP"
"Itatiba";0,778;0,788;0,844;0,708;"SP"
"Lajeado";0,778;0,796;0,84;0,704;"RS"
"Braço do Norte";0,778;0,746;0,881;0,716;"SC"
"Nova Bréscia";0,778;0,836;0,847;0,666;"RS"
"Victor Graeff";0,777;0,774;0,84;0,722;"RS"
"José Bonifácio";0,777;0,752;0,869;0,717;"SP"
"Selbach";0,777;0,785;0,841;0,71;"RS"
"Indaial";0,777;0,767;0,873;0,701;"SC"
"Louveira";0,777;0,783;0,861;0,697;"SP"
"Mafra";0,777;0,738;0,88;0,723;"SC"
"Jacareí";0,777;0,749;0,837;0,749;"SP"
"Sarandi";0,777;0,776;0,858;0,705;"RS"
"Lagoa Santa";0,777;0,79;0,857;0,693;"MG"
"Pinheiro Preto";0,777;0,762;0,866;0,712;"SC"
"Farroupilha";0,777;0,783;0,861;0,696;"RS"
"Iracemápolis";0,776;0,742;0,863;0,729;"SP"
"Itaú de Minas";0,776;0,761;0,862;0,711;"MG"
"Bragança Paulista";0,776;0,772;0,861;0,704;"SP"
"Erechim";0,776;0,782;0,833;0,716;"RS"
"Passo Fundo";0,776;0,787;0,849;0,699;"RS"
"Jales";0,776;0,75;0,855;0,73;"SP"
"Osasco";0,776;0,776;0,84;0,718;"SP"
"Araçoiaba da Serra";0,776;0,751;0,86;0,723;"SP"
"Pirapozinho";0,776;0,74;0,863;0,733;"SP"
"Dracena";0,776;0,752;0,842;0,737;"SP"
"Xanxerê";0,775;0,76;0,861;0,711;"SC"
"Limeira";0,775;0,761;0,852;0,719;"SP"
"Ceres";0,775;0,753;0,842;0,733;"GO"
"Itapiranga";0,775;0,766;0,842;0,723;"SC"
"Viçosa";0,775;0,758;0,883;0,696;"MG"
"Santa Rita do Passa Quatro";0,775;0,764;0,887;0,686;"SP"
"Trombudo Central";0,775;0,76;0,88;0,696;"SC"
"Ouro";0,774;0,774;0,884;0,677;"SC"
"Treviso";0,774;0,737;0,882;0,714;"SC"
"Massaranduba";0,774;0,749;0,867;0,714;"SC"
"Mogi Guaçu";0,774;0,74;0,852;0,736;"SP"
"Siderópolis";0,774;0,751;0,88;0,701;"SC"
"Marau";0,774;0,773;0,857;0,699;"RS"
"Francisco Beltrão";0,774;0,758;0,844;0,726;"PR"
"Cruzália";0,774;0,698;0,853;0,778;"SP"
"Marechal Cândido Rondon";0,774;0,782;0,842;0,704;"PR"
"Pouso Alegre";0,774;0,755;0,872;0,704;"MG"
"São José do Rio Pardo";0,774;0,744;0,868;0,717;"SP"
"Pedrinhas Paulista";0,774;0,749;0,837;0,739;"SP"
"Paraí";0,773;0,787;0,866;0,679;"RS"
"Itu";0,773;0,782;0,854;0,692;"SP"
"Auriflama";0,773;0,746;0,84;0,738;"SP"
"Araguari";0,773;0,74;0,871;0,716;"MG"
"Serra Alta";0,773;0,758;0,879;0,694;"SC"
"Santana da Ponte Pensa";0,773;0,751;0,84;0,733;"SP"
"Rio das Ostras";0,773;0,784;0,854;0,689;"RJ"
"Pindamonhangaba";0,773;0,745;0,843;0,736;"SP"
"Olímpia";0,773;0,737;0,867;0,724;"SP"
"Veranópolis";0,773;0,797;0,838;0,692;"RS"
"Santa Cruz do Sul";0,773;0,782;0,852;0,693;"RS"
"Matão";0,773;0,766;0,847;0,713;"SP"
"Sebastianópolis do Sul";0,773;0,748;0,835;0,74;"SP"
"São Sebastião";0,772;0,747;0,875;0,703;"SP"
"Aratiba";0,772;0,801;0,856;0,67;"RS"
"Uberaba";0,772;0,772;0,845;0,705;"MG"
"Araxá";0,772;0,756;0,858;0,709;"MG"
"Santo Ângelo";0,772;0,765;0,863;0,696;"RS"
"Recife";0,772;0,798;0,825;0,698;"PE"
"Sales Oliveira";0,772;0,738;0,845;0,739;"SP"
"Monções";0,772;0,731;0,814;0,773;"SP"
"Urussanga";0,772;0,756;0,876;0,695;"SC"
"Santa Salete";0,772;0,712;0,864;0,748;"SP"
"Lajeado Grande";0,771;0,75;0,858;0,712;"SC"
"Maracaí";0,771;0,711;0,85;0,758;"SP"
"Volta Redonda";0,771;0,763;0,833;0,72;"RJ"
"Itá";0,771;0,747;0,879;0,698;"SC"
"Poá";0,771;0,71;0,856;0,754;"SP"
"Ipatinga";0,771;0,752;0,864;0,705;"MG"
"Tupã";0,771;0,764;0,852;0,704;"SP"
"Ouroeste";0,77;0,717;0,866;0,736;"SP"
"Lages";0,77;0,755;0,867;0,697;"SC"
"Montes Claros";0,77;0,707;0,868;0,744;"MG"
"Aracaju";0,77;0,784;0,823;0,708;"SE"
"Santa Rosa de Viterbo";0,77;0,746;0,868;0,704;"SP"
"Macatuba";0,77;0,763;0,859;0,697;"SP"
"Armazém";0,77;0,743;0,882;0,698;"SC"
"Oriente";0,77;0,717;0,837;0,761;"SP"
"Timóteo";0,77;0,737;0,836;0,742;"MG"
"Presidente Castello Branco";0,77;0,813;0,883;0,637;"SC"
"Vargem Grande Paulista";0,77;0,755;0,884;0,683;"SP"
"Tupi Paulista";0,769;0,762;0,835;0,715;"SP"
"Santa Rosa";0,769;0,752;0,871;0,693;"RS"
"Taboão da Serra";0,769;0,742;0,863;0,71;"SP"
"Cosmópolis";0,769;0,746;0,876;0,697;"SP"
"São Carlos";0,769;0,763;0,867;0,688;"SC"
"Campo Limpo Paulista";0,769;0,733;0,84;0,739;"SP"
"Schroeder";0,769;0,75;0,855;0,71;"SC"
"Garça";0,769;0,737;0,849;0,728;"SP"
"Arroio do Meio";0,769;0,75;0,86;0,706;"RS"
"Pedreira";0,769;0,75;0,864;0,701;"SP"
"Barbacena";0,769;0,751;0,881;0,687;"MG"
"Lucas do Rio Verde";0,768;0,766;0,833;0,71;"MT"
"Toledo";0,768;0,755;0,855;0,702;"PR"
"Nova Veneza";0,768;0,741;0,869;0,703;"SC"
"Nova Boa Vista";0,768;0,764;0,836;0,708;"RS"
"São Luís";0,768;0,741;0,813;0,752;"MA"
"Resende";0,768;0,762;0,839;0,709;"RJ"
"São Vicente";0,768;0,738;0,857;0,716;"SP"
"Palotina";0,768;0,76;0,864;0,689;"PR"
"Três Passos";0,768;0,745;0,858;0,71;"RS"
"São Roque";0,768;0,765;0,863;0,687;"SP"
"Igarapava";0,768;0,809;0,835;0,671;"SP"
"Bilac";0,768;0,743;0,845;0,722;"SP"
"Maracajá";0,768;0,752;0,861;0,699;"SC"
"Monte Alto";0,768;0,746;0,859;0,707;"SP"
"São Marcos";0,768;0,775;0,855;0,683;"RS"
"Regente Feijó";0,768;0,735;0,818;0,752;"SP"
"Serra Negra";0,767;0,764;0,873;0,676;"SP"
"Votorantim";0,767;0,72;0,838;0,747;"SP"
"Capivari de Baixo";0,767;0,724;0,87;0,716;"SC"
"Orindiúva";0,767;0,719;0,824;0,762;"SP"
"Estrela";0,767;0,776;0,85;0,684;"RS"
"Avaré";0,767;0,751;0,866;0,695;"SP"
"Dois Vizinhos";0,767;0,747;0,85;0,711;"PR"
"Encantado";0,767;0,764;0,858;0,687;"RS"
"Novo Xingu";0,767;0,749;0,85;0,708;"RS"
"Cedral";0,766;0,749;0,872;0,689;"SP"
"Poloni";0,766;0,736;0,853;0,717;"SP"
"Mauá";0,766;0,721;0,852;0,733;"SP"
"Nova Prata";0,766;0,782;0,839;0,686;"RS"
"Parnamirim";0,766;0,75;0,825;0,726;"RN"
"Santiago";0,766;0,746;0,882;0,682;"RS"
"Ivatuba";0,766;0,718;0,837;0,748;"PR"
"Peritiba";0,766;0,762;0,882;0,669;"SC"
"Pereira Barreto";0,766;0,728;0,845;0,732;"SP"
"Capivari do Sul";0,766;0,805;0,836;0,668;"RS"
"Alumínio";0,766;0,729;0,841;0,732;"SP"
"Carazinho";0,766;0,756;0,84;0,707;"RS"
"São Simão";0,766;0,732;0,852;0,722;"SP"
"Lorena";0,766;0,736;0,856;0,713;"SP"
"Catalão";0,766;0,769;0,819;0,715;"GO"
"Ituverava";0,765;0,768;0,841;0,694;"SP"
"Guaporé";0,765;0,781;0,837;0,685;"RS"
"Atibaia";0,765;0,786;0,851;0,67;"SP"
"Ibirubá";0,765;0,786;0,848;0,671;"RS"
"Imbituba";0,765;0,734;0,868;0,703;"SC"
"Suzano";0,765;0,708;0,873;0,723;"SP"
"Gaspar";0,765;0,77;0,889;0,655;"SC"
"São Domingos";0,765;0,769;0,861;0,675;"SC"
"Espumoso";0,765;0,747;0,884;0,677;"RS"
"Não-Me-Toque";0,765;"0,784td>";0,847;0,673;"RS"
"Colinas";0,765;0,786;0,84;0,678;"RS"
"Patos de Minas";0,765;0,749;0,855;0,698;"MG"
"Nova Erechim";0,765;0,767;0,851;0,686;"SC"
"Maricá";0,765;0,761;0,85;0,692;"RJ"
"Nova Europa";0,765;0,718;0,869;0,718;"SP"
"Santo Antônio do Palma";0,764;0,787;0,853;0,665;"RS"
"Arroio Trinta";0,764;0,781;0,873;0,653;"SC"
"Gramado";0,764;0,783;0,861;0,662;"RS"
"Rondinha";0,764;0,78;0,842;0,678;"RS"
"Lençóis Paulista";0,764;0,743;0,837;0,717;"SP"
"Ouro Branco";0,764;0,753;0,872;0,68;"MG"
"Cerro Largo";0,764;0,752;0,849;0,698;"RS"
"São Valentim do Sul";0,764;0,776;0,848;0,677;"RS"
"Videira";0,764;0,772;0,857;0,675;"SC"
"Cachoeira Paulista";0,764;0,733;0,837;0,728;"SP"
"Imbé";0,764;0,825;0,847;0,638;"RS"
"Montauri";0,764;0,79;0,852;0,662;"RS"
"Rosana";0,764;0,749;0,818;0,728;"SP"
"Macaé";0,764;0,792;0,828;0,681;"RJ"
"Divinópolis";0,764;0,753;0,844;0,702;"MG"
"Paraíso do Tocantins";0,764;0,759;0,831;0,706;"TO"
"São Domingos do Sul";0,763;0,78;0,839;0,68;"RS"
"Medianeira";0,763;0,762;0,849;0,686;"PR"
"Presidente Venceslau";0,763;0,749;0,837;0,708;"SP"
"São Pedro do Butiá";0,763;0,76;0,843;0,694;"RS"
"Guararapes";0,763;0,727;0,84;0,726;"SP"
"Natal";0,763;0,768;0,835;0,694;"RN"
"João Pessoa";0,763;0,77;0,832;0,693;"PB"
"Paranavaí";0,763;0,75;0,844;0,703;"PR"
"Itapetininga";0,763;0,728;0,864;0,705;"SP"
"Gabriel Monteiro";0,763;0,721;0,809;0,762;"SP"
"Ponta Grossa";0,763;0,755;0,837;0,703;"PR"
"Barra Funda";0,763;0,731;0,856;0,71;"RS"
"Fagundes Varela";0,763;0,773;0,852;0,674;"RS"
"Buritama";0,763;0,736;0,839;0,72;"SP"
"Guarulhos";0,763;0,746;0,831;0,717;"SP"
"Paraguaçu Paulista";0,762;0,717;0,836;0,739;"SP"
"Sumaré";0,762;0,744;0,845;0,705;"SP"
"David Canabarro";0,762;0,74;0,87;0,688;"RS"
"Saldanha Marinho";0,762;0,745;0,841;0,706;"RS"
"Itupeva";0,762;0,75;0,844;0,699;"SP"
"Serranópolis do Iguaçu";0,762;0,778;0,859;0,662;"PR"
"Boa Vista do Buricá";0,762;0,761;0,834;0,697;"RS"
"Mirassol";0,762;0,748;0,846;0,698;"SP"
"Osvaldo Cruz";0,762;0,74;0,837;0,713;"SP"
"Itapira";0,762;0,75;0,852;0,692;"SP"
"Torres";0,762;0,75;0,862;0,685;"RS"
"São Joaquim da Barra";0,762;0,74;0,847;0,706;"SP"
"Mococa";0,762;0,756;0,827;0,709;"SP"
"Santa Cruz do Rio Pardo";0,762;0,744;0,867;0,686;"SP"
"São Francisco do Sul";0,762;0,74;0,856;0,699;"SC"
"Nova Pádua";0,761;0,762;0,852;0,678;"RS"
"Indiana";0,761;0,714;0,843;0,733;"SP"
"Alfenas";0,761;0,737;0,841;0,712;"MG"
"Panambi";0,761;0,752;0,848;0,691;"RS"
"Itapoá";0,761;0,739;0,874;0,682;"SC"
"Entre Rios do Oeste";0,761;0,778;0,826;0,686;"PR"
"Umuarama";0,761;0,755;0,836;0,698;"PR"
"Vila Maria";0,761;0,791;0,839;0,664;"RS"
"Santa Rita D'Oeste";0,761;0,711;0,839;0,74;"SP"
"São João do Oeste";0,761;0,756;0,873;0,668;"SC"
"Taió";0,761;0,749;0,879;0,67;"SC"
"Batatais";0,761;0,766;0,84;0,685;"SP"
"Conselheiro Lafaiete";0,761;0,736;0,86;0,697;"MG"
"Iguaba Grande";0,761;0,744;0,841;0,704;"RJ"
"Zortéa";0,761;0,752;0,885;0,661;"SC"
"Sertãozinho";0,761;0,768;0,855;0,672;"SP"
"Itaara";0,76;0,761;0,841;0,687;"RS"
"Sete Lagoas";0,76;0,742;0,84;0,705;"MG"
"Goiandira";0,76;0,711;0,849;0,727;"GO"
"Campinas do Sul";0,76;0,753;0,842;0,691;"RS"
"Araranguá";0,76;0,745;0,853;0,691;"SC"
"Santa Adélia";0,76;0,75;0,835;0,702;"SP"
"Tapejara";0,76;0,763;0,837;0,688;"RS"
"Serafina Corrêa";0,76;0,755;0,843;0,69;"RS"
"Tijucas";0,76;0,747;0,873;0,672;"SC"
"Jandira";0,76;0,738;0,841;0,706;"SP"
"Rio Negro";0,76;0,721;0,863;0,705;"PR"
"Taiúva";0,76;0,732;0,835;0,718;"SP"
"Modelo";0,76;0,751;0,886;0,659;"SC"
"Descalvado";0,76;0,74;0,865;0,687;"SP"
"Frederico Westphalen";0,76;0,754;0,846;0,688;"RS"
"Porto Belo";0,76;0,75;0,886;0,66;"SC"
"Estrela D'Oeste";0,76;0,712;0,873;0,705;"SP"
"Várzea Paulista";0,759;0,72;0,863;0,705;"SP"
"Penápolis";0,759;0,748;0,859;0,68;"SP"
"Iporã do Oeste";0,759;0,743;0,847;0,695;"SC"
"Monte Alegre do Sul";0,759;0,752;0,858;0,678;"SP"
"Santo Antônio do Planalto";0,759;0,701;0,885;0,705;"RS"
"Nova Candelária";0,759;0,794;0,856;0,643;"RS"
"Salvador";0,759;0,772;0,835;0,679;"BA"
"Cornélio Procópio";0,759;0,746;0,848;0,692;"PR"
"São Lourenço";0,759;0,746;0,871;0,673;"MG"
"Presidente Getúlio";0,759;0,764;0,874;0,654;"SC"
"Taquaral";0,759;0,742;0,823;0,716;"SP"
"Caraguatatuba";0,759;0,735;0,845;0,705;"SP"
"Rio das Pedras";0,759;0,741;0,842;0,7;"SP"
"Três de Maio";0,759;0,756;0,834;0,694;"RS"
"Inúbia Paulista";0,759;0,688;0,849;0,75;"SP"
"Gurupi";0,759;0,736;0,843;0,706;"TO"
"Rubinéia";0,759;0,713;0,844;0,726;"SP"
"Herval D'Oeste";0,758;0,74;0,859;0,684;"SC"
"Picada Café";0,758;0,738;0,842;0,701;"RS"
"São José dos Pinhais";0,758;0,749;0,859;0,678;"PR"
"Guabiju";0,758;0,831;0,857;0,612;"RS"
"Álvares Machado";0,758;0,712;0,834;0,732;"SP"
"Cordeirópolis";0,758;0,754;0,858;0,674;"SP"
"Fernando Prestes";0,758;0,746;0,859;0,68;"SP"
"Iguaraçu";0,758;0,714;0,833;0,732;"PR"
"Nova Mutum";0,758;0,773;0,837;0,673;"MT"
"João Monlevade";0,758;0,724;0,849;0,708;"MG"
"Nova Londrina";0,758;0,735;0,856;0,691;"PR"
"São João Del Rei";0,758;0,733;0,86;0,69;"MG"
"Piraju";0,758;0,74;0,843;0,699;"SP"
"Itaúna";0,758;0,749;0,85;0,685;"MG"
"Maripá";0,758;0,736;0,866;0,684;"PR"
"Porto Feliz";0,758;0,737;0,836;0,706;"SP"
"Colorado";0,758;0,775;0,835;0,674;"RS"
"Antônio Prado";0,758;0,777;0,835;0,671;"RS"
"Faxinal dos Guedes";0,758;0,746;0,863;0,676;"SC"
"Piratuba";0,758;0,736;0,829;0,714;"SC"
"Gravatal";0,757;0,726;0,877;0,681;"SC"
"Santa Rosa de Lima";0,757;0,726;0,843;0,71;"SC"
"Presidente Bernardes";0,757;0,718;0,839;0,719;"SP"
"Santo Antônio do Aracanguá";0,757;0,71;0,84;0,728;"SP"
"Canoinhas";0,757;0,717;0,874;0,692;"SC"
"Diadema";0,757;0,717;0,844;0,716;"SP"
"Vanini";0,757;0,736;0,836;0,704;"RS"
"Águas de Santa Bárbara";0,757;0,744;0,84;0,695;"SP"
"Dois Lajeados";0,757;0,775;0,837;0,67;"RS"
"Vista Gaúcha";0,757;0,774;0,839;0,669;"RS"
"Campo Mourão";0,757;0,749;0,841;0,689;"PR"
"Jataí";0,757;0,774;0,856;0,656;"GO"
"Piquete";0,757;0,711;0,823;0,74;"SP"
"Presidente Lucena";0,757;0,727;0,885;0,674;"RS"
"Colina";0,757;0,72;0,845;0,712;"SP"
"Cachoeirinha";0,757;0,749;0,857;0,675;"RS"
"Estância Velha";0,757;0,749;0,887;0,652;"RS"
"Chapada";0,757;0,752;0,849;0,679;"RS"
"Palhoça";0,757;0,752;0,859;0,672;"SC"
"Pedro Leopoldo";0,757;0,723;0,856;0,7;"MG"
"Ilhabela";0,756;0,739;0,843;0,693;"SP"
"Balneário Piçarras";0,756;0,745;0,869;0,668;"SC"
"Nova Castilho";0,756;0,694;0,823;0,755;"SP"
"Jambeiro";0,756;0,727;0,86;0,69;"SP"
"Quinze de Novembro";0,756;0,783;0,841;0,655;"RS"
"Itabira";0,756;0,729;0,873;0,678;"MG"
"Cravinhos";0,756;0,737;0,857;0,683;"SP"
"Hortolândia";0,756;0,716;0,859;0,703;"SP"
"Bálsamo";0,756;0,746;0,835;0,695;"SP"
"Pirangi";0,756;0,735;0,837;0,701;"SP"
"Contagem";0,756;0,745;0,832;0,697;"MG"
"Fortaleza dos Valos";0,756;0,779;0,837;0,663;"RS"
"Passos";0,756;0,741;0,886;0,658;"MG"
"Coronel Fabriciano";0,755;0,715;0,865;0,696;"MG"
"São Pedro";0,755;0,741;0,863;0,674;"SP"
"São Ludgero";0,755;0,756;0,834;0,683;"SC"
"Saudades";0,755;0,723;0,85;0,7;"SC"
"Brodowski";0,755;0,738;0,864;0,675;"SP"
"Aparecida";0,755;0,735;0,828;0,706;"SP"
"Alto Bela Vista";0,755;0,734;0,882;0,664;"SC"
"Rondonópolis";0,755;0,749;0,823;0,698;"MT"
"Formiga";0,755;0,729;0,874;0,676;"MG"
"Cianorte";0,755;0,747;0,841;0,685;"PR"
"Montenegro";0,755;0,761;0,866;0,654;"RS"
"Pongaí";0,755;0,727;0,844;0,701;"SP"
"Orleans";0,755;0,749;0,873;0,657;"SC"
"São José do Ouro";0,755;0,759;0,846;0,669;"RS"
"Fortaleza";0,754;0,749;0,824;0,695;"CE"
"Sinop";0,754;0,755;0,832;0,682;"MT"
"Guabiruba";0,754;0,75;0,876;0,653;"SC"
"Boracéia";0,754;0,723;0,866;0,685;"SP"
"São Vendelino";0,754;0,743;0,852;0,677;"RS"
"Rio do Oeste";0,754;0,769;0,892;0,625;"SC"
"Esteio";0,754;0,769;0,843;0,662;"RS"
"Mongaguá";0,754;0,719;0,854;0,699;"SP"
"Analândia";0,754;0,745;0,861;0,668;"SP"
