"Adamantina";54224,142;178323,41;228217,171;785582,034;1246346,757;124519,171;1370865,929;40475,5360063775
"Adolfo";22826,148;17782,937;27140,209;42622,327;110371,621;5118,367;115489,988;33611,7543655413
"Aguaí";121795,919;358840,73;151739,51;437984,526;1070360,685;244376,572;1314737,257;36637,5158701407
"Águas da Prata";25096,376;25550,804;36922,718;106278,688;193848,586;15155,406;209003,992;26771,3580120405
"Águas de Lindóia";10298,965;41438,678;114950,716;372529,721;539218,08;46385,86;585603,941;31760,7083740102
"Águas de Santa Bárbara";70378,677;9944,378;41021,111;82958,154;204302,32;12993,261;217295,581;36477,3511834816
"Águas de São Pedro";0;8858,841;31514,802;98194,675;138568,318;9286,817;147855,135;47027,7146946565
"Agudos";85373,367;1120495,303;207612,863;780808,117;2194289,65;444332,962;2638622,611;72779,5507102469
"Alambari";35450,074;11402,717;32355,482;42753,369;121961,643;7427,919;129389,561;22095,2119193989
"Alfredo Marcondes";9081,353;21154,99;24617,494;35648,145;90501,981;29852,924;120354,905;30671,4844546381
"Altair";48058,627;5048,541;29230,491;24150,276;106487,936;5786,449;112274,385;27708,3872161895
"Altinópolis";386045,395;28793,595;82123,3;296402,138;793364,428;40031,851;833396,279;53604,9578053644
"Alto Alegre";38450,218;7851,695;26679,913;34981,123;107962,95;5621,929;113584,879;28353,6892161757
"Alumínio";1155,379;2236917,868;117203,345;793351,243;3148627,836;833685,242;3982313,077;220394,76877525
"Álvares Florence";60047,108;4639,805;25587,09;30252,83;120526,834;3824,157;124350,991;34580,3645717464
"Álvares Machado";43126,087;121125,549;111961,378;335572,053;611785,067;98090,919;709875,985;29791,6730317274
"Álvaro de Carvalho";11040,51;2988,031;23331,816;19064,229;56424,586;2161,887;58586,473;11535,0409529435
"Alvinlândia";14785,63;3008,25;21289,36;17207,521;56290,761;2114,228;58404,989;18308,7739811912
"Americana";14187,998;4499621,881;1169763,33;7144793,007;12828366,216;2388913,567;15217279,783;64733,7223566947
"Américo Brasiliense";21524,539;363182,168;206818,123;506588,317;1098113,146;132330,503;1230443,649;30249,868448225
"Américo de Campos";38291,032;3852,177;33232,582;46794,721;122170,512;4631,782;126802,294;22129,5452006981
"Amparo";120904,072;2105977,151;372174,994;1830744,15;4429800,367;722355,147;5152155,514;73748,6654070225
"Analândia";46530,602;55494,842;35351,738;61449,911;198827,093;9486,911;208314,004;42556,4870275792
"Andradina";170531,469;808159,873;297745,612;1295767,928;2572204,882;273080,342;2845285,223;50729,8522474014
"Angatuba";198300,809;508780,547;127711,898;497926,495;1332719,749;141432,251;1474152;59689,516945378
"Anhembi";56225,58;19234,224;38943,673;44275,513;158678,99;10879,194;169558,184;25101,1375277572
"Anhumas";42784,181;7637,856;25164,508;26549,261;102135,806;3484,981;105620,787;26517,8978157168
"Aparecida";3002,998;39568,222;183286,905;762868,88;988727,005;52340,251;1041067,256;29125,6506266786
"Aparecida d'Oeste";27847,111;38503,623;24954,089;49290,585;140595,408;10944,231;151539,639;36915,8682095006
"Apiaí";259420,988;190903,342;116332,264;257956,291;824612,886;73099,893;897712,778;36328,4682125369
"Araçariguama";1760,733;1504367,05;135830,003;2112508,413;3754466,199;1060037,707;4814503,906;226149,838226314
"Araçatuba";136998,286;1312463,66;803250,216;5822670,179;8075382,341;942575,19;9017957,531;47233,9739001996
"Araçoiaba da Serra";29828,131;358400,839;167090,539;522977,879;1078297,388;127586,285;1205883,673;36713,2580222858
"Aramina";27475,441;3773,778;29777,843;76856,653;137883,714;12392,983;150276,697;27248,7211242067
"Arandu";92862,428;9501,675;35295,107;50612,103;188271,313;6546,662;194817,975;31585,2748054475
"Arapeí";2768,908;1887,547;21324,697;17210,205;43191,358;2376,675;45568,033;18456,0684487647
"Araraquara";124542,96;2194729,915;1257072,962;6924500,954;10500846,791;1452390,68;11953237,471;52244,9975130249
"Araras";174528,66;1569122,471;611475,853;3673554,205;6028681,189;913886,083;6942567,272;52622,7139337987
"Arco-Íris";28248,212;3645,73;14986,793;13120,455;60001,19;2094,713;62095,903;34383,1135105205
"Arealva";66917,908;18061,039;41911,349;87294,119;214184,414;12898,399;227082,814;27615,5677976408
"Areias";8333,767;1480,002;26213,31;19688,428;55715,507;2397,905;58113,412;15055,2880829016
"Areiópolis";22630,239;12987,426;53409,163;65257,559;154284,387;8776,101;163060,489;14959,6778899083
"Ariranha";22472,846;198111,9;52038,896;676702,037;949325,678;187585,562;1136911,24;121231,738110471
"Artur Nogueira";207404,495;318941,386;248271,341;689121,712;1463738,934;257998,305;1721737,239;32348,8884525778
"Arujá";44134,148;1393204,769;456647,894;4787584,375;6681571,185;1611798,977;8293370,162;91178,0180083115
"Aspásia";10329,13;2056,231;14201,728;11473,173;38060,261;1485,597;39545,858;22469,2375
"Assis";56956,795;675200,021;491705,084;2381900,859;3605762,76;476753,029;4082515,789;40093,4523839921
"Atibaia";305859,573;1833695,583;744743,295;4034661,197;6918959,647;1442072,796;8361032,444;59471,4554054727
"Auriflama";36448,745;40184,864;69482,265;189741,791;335857,665;22686,289;358543,955;24764,7434037851
"Avaí";249016,016;11779,377;33327,197;71769,962;365892,551;10201,28;376093,832;70774,1497929996
"Avanhandava";38333,36;7235,928;62365,673;81275,776;189210,737;10178,286;199389,023;16359,4538070233
"Avaré";154849,966;483492,486;428688,601;1879750,021;2946781,075;332140,924;3278921,999;37322,3985134428
"Bady Bassitt";19642,938;82367,89;92624,609;305637,979;500273,415;51575,103;551848,518;33565,3864120187
"Balbinos";16589,312;4811,167;28648,209;13341,383;63390,071;2010,359;65400,429;17642,4140814675
"Bálsamo";37092,377;46855,998;44542,767;122318,312;250809,454;27832,281;278641,735;32620,1984312807
"Bananal";11795,709;36130,381;59069,421;93761,83;200757,341;15261,043;216018,384;20205,6294079132
"Barão de Antonina";28042,81;2887,531;20522,39;21294,932;72747,665;2208,752;74956,416;22000,7091282653
"Barbosa";13932,561;4509,921;34220,36;49617,647;102280,489;6844,323;109124,812;14857,0200136147
"Bariri";88983,09;426105,012;179472,67;723694,352;1418255,124;205150,428;1623405,551;47495,7738736103
"Barra Bonita";20125,292;405060,551;181639,088;732206,507;1339031,439;176621,454;1515652,893;43473,2931677375
"Barra do Chapéu";70754,163;4986,453;27781,296;25568,106;129090,019;4648,005;133738,024;24049,2760294911
"Barra do Turvo";5097,223;5416,054;42933,558;60596,92;114043,755;11777,13;125820,885;16321,2978337009
"Barretos";251329,34;1315471,882;625247,805;3146637,758;5338686,786;564829,175;5903515,961;49852,7766743513
"Barrinha";30338,226;112693,333;165926,345;272051,402;581009,306;43806,991;624816,297;19132,1053646886
"Barueri";464,12;5741034,37;2282410,141;36185003,015;44208911,645;13818754,973;58027666,618;217955,748351087
"Bastos";461927,562;123142,997;110153,086;306440,458;1001664,102;65552,814;1067216,916;52582,6229798975
"Batatais";200057,769;532695,391;309286,69;1109478,862;2151518,713;265283,862;2416802,575;39945,8294767115
"Bauru";49289,643;2524991,881;1570814,18;10733608,532;14878704,236;1842664,187;16721368,423;45746,4193032997
