"cod_municipio ibge";"Município";"Gini_2010"
"351610";"Florínia";0,4944
"351620";"Franca";0,4665
"351630";"Francisco Morato";0,4361
"351640";"Franco da Rocha";0,4646
"351650";"Gabriel Monteiro";0,3736
"351660";"Gália";0,4265
"351670";"Garça";0,5075
"351680";"Gastão Vidigal";0,43
"351685";"Gavião Peixoto";0,361
"351690";"General Salgado";0,4588
"351700";"Getulina";0,4708
"351710";"Glicério";0,5224
"351720";"Guaiçara";0,3781
"351730";"Guaimbê";0,4057
"351740";"Guaíra";0,5207
"351750";"Guapiaçu";0,4238
"351760";"Guapiara";0,5657
"351770";"Guará";0,4908
"351780";"Guaraçaí";0,43
"351790";"Guaraci";0,4178
"351800";"Guarani d'Oeste";0,4101
"351810";"Guarantã";0,4907
"351820";"Guararapes";0,4328
"351830";"Guararema";0,5061
"351840";"Guaratinguetá";0,5478
"351850";"Guareí";0,4349
"351860";"Guariba";0,4388
"351870";"Guarujá";0,5191
"351880";"Guarulhos";0,5345
"351885";"Guatapará";0,5218
"351890";"Guzolândia";0,4181
"351900";"Herculândia";0,4527
"351905";"Holambra";0,5471
"351907";"Hortolândia";0,4251
"351910";"Iacanga";0,3984
"351920";"Iacri";0,4454
"351925";"Iaras";0,5257
"351930";"Ibaté";0,4003
"351940";"Ibirá";0,4896
"351950";"Ibirarema";0,4352
"351960";"Ibitinga";0,4478
"351970";"Ibiúna";0,4978
"351980";"Icém";0,4477
"351990";"Iepê";0,4632
"352000";"Igaraçu do Tietê";0,3687
"352010";"Igarapava";0,6747
"352020";"Igaratá";0,4306
"352030";"Iguape";0,5612
"352042";"Ilha Comprida";0,4814
"352044";"Ilha Solteira";0,4827
"352040";"Ilhabela";0,4969
"352050";"Indaiatuba";0,4865
"352060";"Indiana";0,4517
"352070";"Indiaporã";0,4781
"352080";"Inúbia Paulista";0,3724
"352090";"Ipaussu";0,4791
"352100";"Iperó";0,414
"352110";"Ipeúna";0,4699
"352115";"Ipiguá";0,3772
"352120";"Iporanga";0,5318
"352130";"Ipuã";0,5976
"352140";"Iracemápolis";0,4534
"352150";"Irapuã";0,3642
"352160";"Irapuru";0,4474
"352170";"Itaberá";0,5151
"352180";"Itaí";0,4585
"352190";"Itajobi";0,3933
"352200";"Itaju";0,3754
"352210";"Itanhaém";0,514
"352215";"Itaóca";0,5512
"352220";"Itapecerica da Serra";0,4756
"352230";"Itapetininga";0,501
"352240";"Itapeva";0,5393
"352250";"Itapevi";0,4738
"352260";"Itapira";0,4611
"352265";"Itapirapuã Paulista";0,5351
"352270";"Itápolis";0,4538
"352280";"Itaporanga";0,5362
"352290";"Itapuí";0,4227
"352300";"Itapura";0,4804
"352310";"Itaquaquecetuba";0,4556
"352320";"Itararé";0,4894
"352330";"Itariri";0,526
"352340";"Itatiba";0,4965
"352350";"Itatinga";0,4338
"352360";"Itirapina";0,4866
"352370";"Itirapuã";0,4415
"352380";"Itobi";0,4085
"352390";"Itu";0,5398
"352400";"Itupeva";0,4488
"352410";"Ituverava";0,5264
"352420";"Jaborandi";0,3953
"352430";"Jaboticabal";0,5279
"352440";"Jacareí";0,4993
"352450";"Jaci";0,3551
"352460";"Jacupiranga";0,5338
"352470";"Jaguariúna";0,502
"352480";"Jales";0,4635
"352490";"Jambeiro";0,4912
"352500";"Jandira";0,4937
"352510";"Jardinópolis";0,5077
"352520";"Jarinu";0,4659
"352530";"Jaú";0,4638
"352540";"Jeriquara";0,4196
"352550";"Joanópolis";0,4434
"352560";"João Ramalho";0,4235
"352570";"José Bonifácio";0,4555
"352580";"Júlio Mesquita";0,4153
"352585";"Jumirim";0,3971
"352590";"Jundiaí";0,5435
"352600";"Junqueirópolis";0,4432
"352610";"Juquiá";0,4947
"352620";"Juquitiba";0,5159
"352630";"Lagoinha";0,4855
"352640";"Laranjal Paulista";0,4197
"352650";"Lavínia";0,3885
"352660";"Lavrinhas";0,5808
"352670";"Leme";0,4806
"352680";"Lençóis Paulista";0,4426
"352690";"Limeira";0,4956
"352700";"Lindóia";0,4059
"352710";"Lins";0,4601
"352720";"Lorena";0,531
"352725";"Lourdes";0,3799
"352730";"Louveira";0,519
"352740";"Lucélia";0,4711
"352750";"Lucianópolis";0,5154
"352760";"Luís Antônio";0,4275
"352770";"Luiziânia";0,3607
"352780";"Lupércio";0,408
"352790";"Lutécia";0,4316
"352800";"Macatuba";0,5506
"352810";"Macaubal";0,4308
"352820";"Macedônia";0,4264
"352830";"Magda";0,4433
"352840";"Mairinque";0,4804
"352850";"Mairiporã";0,581
"352860";"Manduri";0,4809
"352870";"Marabá Paulista";0,3962
"352880";"Maracaí";0,4255
"352885";"Marapoama";0,4231
"352890";"Mariápolis";0,3846
"352900";"Marília";0,5117
"352910";"Marinópolis";0,4291
"352920";"Martinópolis";0,4551
"352930";"Matão";0,531
"352940";"Mauá";0,458
"352950";"Mendonça";0,3691
"352960";"Meridiano";0,4053
"352965";"Mesópolis";0,3757
"352970";"Miguelópolis";0,458
"352980";"Mineiros do Tietê";0,4026
"353000";"Mira Estrela";0,4294
"352990";"Miracatu";0,509
"353010";"Mirandópolis";0,4668
"353020";"Mirante do Paranapanema";0,5054
"353030";"Mirassol";0,4659
"353040";"Mirassolândia";0,4008
"353050";"Mococa";0,5392
"353060";"Mogi das Cruzes";0,5487
"353070";"Mogi Guaçu";0,4457
"353080";"Moji Mirim";0,5013
"353090";"Mombuca";0,6513
"353100";"Monções";0,4322
"353110";"Mongaguá";0,5232
"353120";"Monte Alegre do Sul";0,4774
"353130";"Monte Alto";0,4204
"353140";"Monte Aprazível";0,5067
"353150";"Monte Azul Paulista";0,465
"353160";"Monte Castelo";0,3925
"353180";"Monte Mor";0,4557
"353170";"Monteiro Lobato";0,4953
"353190";"Morro Agudo";0,462
"353200";"Morungaba";0,4503
"353205";"Motuca";0,4843
"353210";"Murutinga do Sul";0,4357
"353215";"Nantes";0,353
"353220";"Narandiba";0,3732
"353230";"Natividade da Serra";0,5216
"353240";"Nazaré Paulista";0,4746
"353250";"Neves Paulista";0,4056
"353260";"Nhandeara";0,4995
"353270";"Nipoã";0,3705
"353280";"Nova Aliança";0,3917
"353282";"Nova Campina";0,468
"353284";"Nova Canaã Paulista";0,3427
"353286";"Nova Castilho";0,3727
"353290";"Nova Europa";0,3927
"353300";"Nova Granada";0,4487
"353310";"Nova Guataporanga";0,4139
"353320";"Nova Independência";0,361
"353330";"Nova Luzitânia";0,3652
"353340";"Nova Odessa";0,4236
"353325";"Novais";0,4523
"353350";"Novo Horizonte";0,4534
"353360";"Nuporanga";0,4488
"353370";"Ocauçu";0,3956
"353380";"Óleo";0,4245
"353390";"Olímpia";0,4429
"353400";"Onda Verde";0,3511
"353410";"Oriente";0,4519
"353420";"Orindiúva";0,3815
"353430";"Orlândia";0,5034
"353440";"Osasco";0,5459
"353450";"Oscar Bressane";0,4496
"353460";"Osvaldo Cruz";0,4727
"353470";"Ourinhos";0,5117
"353480";"Ouro Verde";0,4004
"353475";"Ouroeste";0,4358
"353490";"Pacaembu";0,4579
"353500";"Palestina";0,4067
"353510";"Palmares Paulista";0,341
"353520";"Palmeira d'Oeste";0,4283
