"Município";"Valor Transferido"
"FRANCO DA ROCHA";74210036,5
"GABRIEL MONTEIRO";1235358,29
"GÁLIA";3253842,11
"GARÇA";29116066,15
"GASTÃO VIDIGAL";1495885,34
"GAVIÃO PEIXOTO";2169896,55
"GENERAL SALGADO";4687131,34
"GETULINA";3880224,04
"GLICÉRIO";1965164,6
"GUAIÇARA";3263719,48
"GUAIMBÊ";3124128,6
"GUAÍRA";15654037,98
"GUAPIAÇU";9234283,92
"GUAPIARA";8874351,53
"GUARÁ";10964474,8
"GUARAÇAÍ";3407042,2
"GUARACI";3767149,4
"GUARANI D'OESTE";1663409,69
"GUARANTÃ";2417170,74
"GUARARAPES";8380120,98
"GUARAREMA";14506248,07
"GUARATINGUETÁ";59174343,87
"GUAREÍ";6583255,09
"GUARIBA";10334513,51
"GUARUJÁ";125232722,66
"GUARULHOS";346321492,9
"GUATAPARÁ";2660857,98
"GUZOLÂNDIA";1091011,53
"HERCULÂNDIA";3495047,29
"HOLAMBRA";4716877,9
"HORTOLÂNDIA";130321645,6
"IACANGA";4716013,2
"IACRI";2065856,05
"IARAS";2722744,92
"IBATÉ";5145457,26
"IBIRÁ";5966743,29
"IBIRAREMA";3310713,4
"IBITINGA";19200006,82
"IBIÚNA";28710460,7
"ICÉM";3386759,18
"IEPÊ";3698123,35
"IGARAÇU DO TIETÊ";8028114,03
"IGARAPAVA";10891853,37
"IGARATÁ";4729768,93
"IGUAPE";7680293,65
"ILHA COMPRIDA";5097969,13
"ILHA SOLTEIRA";8163605,05
"ILHABELA";14356745,12
"INDAIATUBA";87047079,01
"INDIANA";1604307,95
"INDIAPORÃ";2308175,36
"INÚBIA PAULISTA";1638020,81
"IPAUSSU";6897304,26
"IPERÓ";10662215,65
"IPEÚNA";2534873,14
"IPIGUÁ";2683045,4
"IPORANGA";2251702,68
"IPUÃ";10721777,05
"IRACEMÁPOLIS";4349779,66
"IRAPUÃ";1919406,65
"IRAPURU";2315305,71
"ITABERÁ";6338777,7
"ITAÍ";5737520,7
"ITAJOBI";6725986,37
"ITAJU";1358983,01
"ITANHAÉM";30937090,85
"ITAÓCA";2265652,46
"ITAPECERICA DA SERRA";45975415,56
"ITAPETININGA";49778821,69
"ITAPEVA";64928191,58
"ITAPEVI";59105309,79
"ITAPIRA";34785560,57
"ITAPIRAPUÃ PAULISTA";2642902,7
"ITÁPOLIS";16239534,72
"ITAPORANGA";5282150,77
"ITAPUÍ";4925708,23
"ITAPURA";1927451,87
"ITAQUAQUECETUBA";55611341,68
"ITARARÉ";20664099,16
"ITARIRI";5456077,57
"ITATIBA";38304273,92
"ITATINGA";2934101,68
"ITIRAPINA";4390353,45
"ITIRAPUÃ";2428038,69
"ITOBI";1978901,71
"ITU";58776656,13
"ITUPEVA";13900025,57
"ITUVERAVA";33568463,56
"JABORANDI";3531293,17
"JABOTICABAL";31921764,9
"JACAREÍ";111746264,18
"JACI";2824997,22
"JACUPIRANGA";6978017,27
"JAGUARIÚNA";22832506,27
"JALES";22483553,67
"JAMBEIRO";1734547,04
"JANDIRA";24591232,23
"JARDINÓPOLIS";8826282,36
"JARINU";8275629,93
"JAÚ";77254894,11
"JERIQUARA";1313931,66
"JOANÓPOLIS";5015371,12
"JOÃO RAMALHO";2150493,06
"JOSÉ BONIFÁCIO";7067895,75
"JÚLIO MESQUITA";1918031,46
"JUMIRIM";525906,24
"JUNDIAÍ";182046018,21
"JUNQUEIRÓPOLIS";9168028,34
"JUQUIÁ";9163717,57
"JUQUITIBA";12464599,6
"LAGOINHA";2603404,96
"LARANJAL PAULISTA";7387070,37
"LAVÍNIA";3498502,26
"LAVRINHAS";3507234,28
"LEME";41637660,39
"LENÇÓIS PAULISTA";25221725,68
